tW,xx,xy,xz,xi,yx,yy,yz,yi,zx,zy,zz,zi,ix,iy,iz,ii
t,xx,xy,xz,xi,yx,yy,yz,yi,zx,zy,zz,zi,ix,iy,iz,ii
0.0,0.0,0.0878535285867,0.0,0.0,-0.0878535285867,0.0,0.0,0.0,0.0,0.0,-0.993333333333,1.0,0.0,0.0,-0.993333333333,1.0
1.0,0.0,0.145352255138,0.0,0.0,-0.145352255138,0.0,0.0,0.0,0.0,0.0,-0.988911111111,0.992281757515,0.0,0.0,-0.981192868626,1.0
2.0,0.0,0.201826590236,0.0,0.0,-0.201826590236,0.0,0.0,0.0,0.0,0.0,-0.984493006288,0.982113739917,0.0,0.0,-0.966606746205,1.0
3.0,0.0,0.257174179603,0.0,0.0,-0.257174179603,0.0,0.0,0.0,0.0,0.0,-0.980081550205,0.968696556975,0.0,0.0,-0.94877810718,1.0
4.0,0.0,0.311188494073,0.0,0.0,-0.311188494073,0.0,0.0,0.0,0.0,0.0,-0.975675711701,0.952108320627,0.0,0.0,-0.927784032328,1.0
5.0,0.0,0.363694720006,0.0,0.0,-0.363694720006,0.0,0.0,0.0,0.0,0.0,-0.971274609441,0.932440997574,0.0,0.0,-0.903715607015,1.0
6.0,0.0,0.41452475005,0.0,0.0,-0.41452475005,0.0,0.0,0.0,0.0,0.0,-0.966877391349,0.909795617173,0.0,0.0,-0.876673008522,1.0
7.0,0.0,0.463517606891,0.0,0.0,-0.463517606891,0.0,0.0,0.0,0.0,0.0,-0.962483236535,0.884282594371,0.0,0.0,-0.846765830906,1.0
8.0,0.0,0.510519960047,0.0,0.0,-0.510519960047,0.0,0.0,0.0,0.0,0.0,-0.958091357871,0.856021275829,0.0,0.0,-0.8141126337,1.0
9.0,0.0,0.555386590085,0.0,0.0,-0.555386590085,0.0,0.0,0.0,0.0,0.0,-0.953701004334,0.825139455159,0.0,0.0,-0.778840459493,1.0
10.0,0.0,0.597980821025,0.0,0.0,-0.597980821025,0.0,0.0,0.0,0.0,0.0,-0.949311463202,0.791772863763,0.0,0.0,-0.741084326965,1.0
11.0,0.0,0.638174919813,0.0,0.0,-0.638174919813,0.0,0.0,0.0,0.0,0.0,-0.944922062099,0.756064638578,0.0,0.0,-0.700986700677,1.0
12.0,0.0,0.675850461746,0.0,0.0,-0.675850461746,0.0,0.0,0.0,0.0,0.0,-0.940532170886,0.718164768754,0.0,0.0,-0.658696939639,1.0
13.0,0.0,0.710898660863,0.0,0.0,-0.710898660863,0.0,0.0,0.0,0.0,0.0,-0.936141203395,0.678229523328,0.0,0.0,-0.614370726722,1.0
14.0,0.0,0.743220664468,0.0,0.0,-0.743220664468,0.0,0.0,0.0,0.0,0.0,-0.93174861899,0.636420862039,0.0,0.0,-0.568169481029,1.0
15.0,0.0,0.77272781106,0.0,0.0,-0.77272781106,0.0,0.0,0.0,0.0,0.0,-0.927353923967,0.592905831427,0.0,0.0,-0.520259755393,1.0
16.0,0.0,0.799341851084,0.0,0.0,-0.799341851084,0.0,0.0,0.0,0.0,0.0,-0.922956672774,0.547855948428,0.0,0.0,-0.470812621202,1.0
17.0,0.0,0.822995130065,0.0,0.0,-0.822995130065,0.0,0.0,0.0,0.0,0.0,-0.91855646906,0.501446573692,0.0,0.0,-0.420003042752,1.0
18.0,0.0,0.843630733778,0.0,0.0,-0.843630733778,0.0,0.0,0.0,0.0,0.0,-0.914152966545,0.453856276846,0.0,0.0,-0.368009243391,1.0
19.0,0.0,0.861202595305,0.0,0.0,-0.861202595305,0.0,0.0,0.0,0.0,0.0,-0.909745869714,0.405266195967,0.0,0.0,-0.31501206568,1.0
20.0,0.0,0.875675563887,0.0,0.0,-0.875675563887,0.0,0.0,0.0,0.0,0.0,-0.905334934321,0.355859393514,0.0,0.0,-0.261194327835,1.0
21.0,0.0,0.887025435681,0.0,0.0,-0.887025435681,0.0,0.0,0.0,0.0,0.0,-0.900919967726,0.305820210958,0.0,0.0,-0.206740178684,1.0
22.0,0.0,0.895238946615,0.0,0.0,-0.895238946615,0.0,0.0,0.0,0.0,0.0,-0.896500829044,0.255333624333,0.0,0.0,-0.151834453376,1.0
