fo250210_testNoCapa De-Embedded l1=5.0
Frequency GHz, DB[S11]
5,-9.66474e-009
5.001,-1.05141e-008
5.002,-1.13616e-008
5.003,-1.22068e-008
5.004,-1.30497e-008
5.005,-1.38903e-008
5.006,-1.47286e-008
5.007,-1.55646e-008
5.008,-1.63983e-008
5.009,-1.72298e-008
5.01,-1.80589e-008
5.011,-1.88857e-008
5.012,-1.97103e-008
5.013,-2.05325e-008
5.014,-2.13525e-008
5.015,-2.21702e-008
5.016,-2.29857e-008
5.017,-2.37988e-008
5.018,-2.46097e-008
5.019,-2.54182e-008
5.02,-2.62246e-008
5.021,-2.70286e-008
5.022,-2.78304e-008
5.023,-2.86299e-008
5.024,-2.94272e-008
5.025,-3.02221e-008
5.026,-3.10149e-008
5.027,-3.18053e-008
5.028,-3.25935e-008
5.029,-3.33795e-008
5.03,-3.41632e-008
5.031,-3.49446e-008
5.032,-3.57238e-008
5.033,-3.65008e-008
5.034,-3.72755e-008
5.035,-3.8048e-008
5.036,-3.88182e-008
5.037,-3.95862e-008
5.038,-4.03519e-008
5.039,-4.11154e-008
5.04,-4.18767e-008
5.041,-4.26357e-008
5.042,-4.33925e-008
5.043,-4.41471e-008
5.044,-4.48995e-008
5.045,-4.56496e-008
5.046,-4.63975e-008
5.047,-4.71432e-008
5.048,-4.78867e-008
5.049,-4.86279e-008
5.05,-4.93669e-008
5.051,-5.01038e-008
5.052,-5.08384e-008
5.053,-5.15708e-008
5.054,-5.2301e-008
5.055,-5.3029e-008
5.056,-5.37548e-008
5.057,-5.44783e-008
5.058,-5.51997e-008
5.059,-5.59189e-008
5.06,-5.66359e-008
5.061,-5.73507e-008
5.062,-5.80633e-008
5.063,-5.87737e-008
5.064,-5.9482e-008
5.065,-6.0188e-008
5.066,-6.08919e-008
5.067,-6.15936e-008
5.068,-6.22931e-008
5.069,-6.29904e-008
5.07,-6.36855e-008
5.071,-6.43785e-008
5.072,-6.50693e-008
5.073,-6.57579e-008
5.074,-6.64444e-008
5.075,-6.71287e-008
5.076,-6.78108e-008
